NAME,INVESTOR TYPE,PREFERED STARTUP STAGES,FOCUS INDUSTRIES,FOCUS SECTOR,SERVICE AREAS,INVESTMENT RANGE,LOCATION
EQUES CAPITAL,Private Equity,"Ideation, Validation, EarlyTraction, Scaling","AI, Green Technology, Finance Technology, Healthcare & Lifesciences, Pets & Animals, Logistics, Biotechnology, Waste Management",,"Consulting, E-commerce, Online Aggregator, SaaS, Subscription Commerce",50 Lacs - 2 Crore INR,"Ahmedabad, Gujarat"
NILESH RATHI,Others,"Ideation, Validation, EarlyTraction","Analytics, Automotive, Telecommunication & Networking, Construction, Agriculture, Events, Fashion, Finance Technology, Food & Beverages, Healthcare & Lifesciences, Media & Entertainment, Retail, Textiles & Apparel, Travel & Tourism","Big Data, Business Intelligence, Data Science, Others, Auto & Truck Manufacturers, Auto, Truck & Motorcycle Parts, Electric Vehicles, Others, Tires & Rubber Products, Integrated communication services, Network Technology Solutions, Others, Wireless, Construction & Engineering, Construction Materials, Construction Supplies & Fixtures, Homebuilding, New-age Construction Technologies, Others, Agri-Tech, Animal Husbandry, Dairy Farming, Fisheries, Food Processing, Horticulture, Organic Agriculture, Others, Event Management, Others, Weddings, Apparel, Fan Merchandise, Fashion Technology, Jewellery, Lifestyle, Others, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, Food Processing, Food Technology/Food Delivery, Microbrewery, Others, Restaurants, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Digital Media, Digital Media Blogging, Digital Media News, Digital Media Publishing, Digital Media Video, Entertainment, Movies, OOH Media, Others, Social Media, Comparison Shopping, Others, Retail Technology, Social Commerce, Apparel & Accessories, Leather Footwear, Leather Textiles Goods, Non- Leather Footwear, Non- Leather Textiles Goods, Others, Experiential Travel, Facility Management, Holiday Rentals, Hospitality, Hotel, Others, Ticketing, Wayside Amenities","Manufacturing, Online Aggregator, Peer to Peer, Research",0 - 50 Lacs INR,"Thane, Maharashtra"
ZAR PARTNER,Venture Capital,"Ideation, Validation, EarlyTraction","AI, Enterprise Software, Internet of Things, Transportation & Storage, Logistics","Machine Learning, NLP, Others, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Manufacturing & Warehouse, Others, Smart Home, Wearables, Freight & Logistics Services, Others, Passenger Transportation Services, Traffic Management, Transport Infrastructure","E-commerce, Enterprise Mobility, Marketplace, Platform, SaaS",0 - 50 Lacs INR,"Coimbatore, Tamil Nadu"
AURUM PROPTECH,Venture Capital,"Ideation, Validation, EarlyTraction, Scaling","AR VR (Augmented + Virtual Reality), Construction, Green Technology, Internet of Things, Real Estate",,"Marketplace, Peer to Peer",5 Crore + INR,"Mumbai, Maharashtra"
SUMEET SINGH,Angel Group,"Validation, EarlyTraction","Automotive, Construction, Agriculture, Green Technology, Finance Technology, Renewable Energy, Social Impact","Auto & Truck Manufacturers, Auto, Truck & Motorcycle Parts, Electric Vehicles, Others, Tires & Rubber Products, Construction & Engineering, Construction Materials, Construction Supplies & Fixtures, Homebuilding, New-age Construction Technologies, Others, Agri-Tech, Animal Husbandry, Dairy Farming, Fisheries, Food Processing, Horticulture, Organic Agriculture, Others, Clean Tech, Others, Waste Management, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, Manufacture of Electrical Equipment, Manufacture of Machinery and Equipment, Others, Renewable Energy Solutions, Renewable Nuclear Energy, Renewable Solar Energy, Renewable Wind Energy, Corporate Social Responsibility, NGO, Others",Others,50 Lacs - 2 Crore INR,"Noida, Uttar Pradesh"
ANKURIT CAPITAL FUND,Venture Capital,"EarlyTraction, Scaling","Analytics, AR VR (Augmented + Virtual Reality), Computer Vision, Agriculture, Finance Technology, Enterprise Software, Food & Beverages, Education, Healthcare & Lifesciences, Logistics,","Big Data, Business Intelligence, Data Science, Others, Others, Others, Agri-Tech, Animal Husbandry, Dairy Farming, Fisheries, Food Processing, Horticulture, Organic Agriculture, Others, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Food Processing, Food Technology/Food Delivery, Microbrewery, Others, Restaurants, Coaching, E-learning, Education Technology, Others, Skill Development, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Others,","Discovery, Governments, Hyperlocal, Location Based Services",2 Crore - 5 Crore INR,"New Delhi, Delhi"
LI EAR,Venture Capital,"Ideation, Validation, EarlyTraction, Scaling",Agriculture,"Dairy Farming, Organic Agriculture, Agri-Tech, Food Processing, Others, Horticulture, Fisheries, Animal Husbandry","E-commerce, Online Aggregator, Platform, SaaS",5 Crore + INR,"Bengaluru, Karnataka"
ANKUR CAPITAL,Venture Capital,"Validation, EarlyTraction","Computer Vision, Agriculture, Green Technology, Finance Technology, Food & Beverages, Education, Technology Hardware, Healthcare & Lifesciences, Nanotechnology, Media & Entertainment, Retail, Social Impact, Social Network, Indic Language Startups, Transportation & Storage, Logistics, Robotics, Biotechnology"," Agri-Tech, Animal Husbandry, Dairy Farming, Fisheries, Food Processing, Horticulture, Organic Agriculture, Others, Clean Tech, Others, Waste Management, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, Food Processing, Food Technology/Food Delivery, Microbrewery, Others, Restaurants, Coaching, E-learning, Education Technology, Others, Skill Development, 3d printing, Electronics, Embedded, Manufacturing, Others, Semiconductor, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Others, Digital Media, Digital Media Blogging, Digital Media News, Digital Media Publishing, Digital Media Video, Entertainment, Movies, OOH Media, Others, Social Media, Comparison Shopping, Others, Retail Technology, Social Commerce, Corporate Social Responsibility, NGO, Others, Others, E-Commerce, Education, Media and Entertainment, Natural Language Processing, Social Media, Utility Services, Freight & Logistics Services, Others, Passenger Transportation Services, Traffic Management, Transport Infrastructure, Others, Others, Robotics Application, Robotics Technology, Others","Discovery, E-commerce, Marketplace, Mobile, SaaS",2 Crore - 5 Crore INR,"Mumbai, Maharashtra"
CAMPUS FUND,Others,"Ideation, Validation, EarlyTraction, Scaling","AR VR (Augmented + Virtual Reality), Automotive, Education, Renewable Energy, Green Technology, Finance Technology, Healthcare & Lifesciences, Internet of Things, Transportation & Storage, Agriculture, Logistics, Waste Management, Biotechnology","Electric Vehicles, E-learning, Skill Development, Coaching, Others, Renewable Solar Energy, Renewable Wind Energy, Renewable Nuclear Energy, Renewable Energy Solutions, Others, Waste Management, Clean Tech, Others, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, Medical Devices Biomedical, Health & Wellness, Pharmaceutical, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Others, Smart Home, Manufacturing & Warehouse, Wearables, Others, Freight & Logistics Services, Passenger Transportation Services, Transport Infrastructure, Others, Dairy Farming, Organic Agriculture, Agri-Tech, Food Processing, Others","Consumer Internet, Discovery, E-commerce, Engineering, SaaS",0 - 50 Lacs INR,"Bengaluru, Karnataka"
NARAYANAN MURALIDHARAN,Venture Capital,"Ideation, Validation, EarlyTraction, Scaling","Marketing, Aeronautics Aerospace & Defence, AI, Analytics, Automotive, Telecommunication & Networking, Computer Vision, Education, Renewable Energy, Green Technology, Enterprise Software, Events, Finance Technology, Food & Beverages, Technology Hardware, Healthcare & Lifesciences, Internet of Things, IT Services, Media & Entertainment, Nanotechnology, Robotics, Logistics","Sales, Loyalty, Discovery, Branding, Digital Marketing (SEO Automation), Market Research, Others, Drones, Others, Machine Learning, NLP, Others, Business Intelligence, Big Data, Data Science, Others, Auto & Truck Manufacturers, Auto, Truck & Motorcycle Parts, Tires & Rubber Products, Others, Electric Vehicles, Wireless, Integrated communication services, Network Technology Solutions, Others, Others, E-learning, Education Technology, Skill Development, Coaching, Others, Renewable Solar Energy, Renewable Wind Energy, Renewable Nuclear Energy, Renewable Energy Solutions, Others, Waste Management, Clean Tech, Others, Cloud, ERP, CXM, SCM, Customer Support, Collaboration, Location Based, Enterprise Mobility, Others, Weddings, Event Management, Others, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, Restaurants, Microbrewery, Food Processing, Others, Embedded, Semiconductor, Electronics, 3d printing, Others, Manufacturing, Medical Devices Biomedical, Health & Wellness, Pharmaceutical, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Others, Smart Home, Manufacturing & Warehouse, Wearables, Others, IT Consulting, BPO, KPO, Web Development, Product Development, Application Development, Testing, IT Management, Project Management, Others, Digital Media News, Digital Media Video, Digital Media Blogging, Digital Media Publishing, Digital Media, Movies, OOH Media, Social Media, Entertainment, Others, Others, Robotics Technology, Robotics Application, Other","Consumer Internet, Engineering, Platform, SaaS, Others",50 Lacs - 2 Crore INR,"Mumbai, Maharashtra"
SANDIP SINGH,Private Company,Scaling,"AI, Analytics, Animation, AR VR (Augmented + Virtual Reality), Automotive, Construction, Renewable Energy, Finance Technology, Healthcare & Lifesciences, Agriculture","Machine Learning, NLP, Others, Business Intelligence, Big Data, Data Science, Others, Others, Others, Auto & Truck Manufacturers, Auto, Truck & Motorcycle Parts, Tires & Rubber Products, Others, Electric Vehicles, New-age Construction Technologies, Construction Materials, Construction & Engineering, Construction Supplies & Fixtures, Homebuilding, Others, Renewable Solar Energy, Renewable Wind Energy, Renewable Nuclear Energy, Renewable Energy Solutions, Others, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, Medical Devices Biomedical, Health & Wellness, Pharmaceutical, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Others, Dairy Farming, Organic Agriculture, Agri-Tech, Food Processing","Consulting, Discovery, Location Based Services, Manufacturing",50 Lacs - 2 Crore INR,"Pune, Maharashtra"
MANIPAL TECHNOLOGIES LIMITED,Private Company,"Validation, EarlyTraction, Scaling","Finance Technology, Retail, Professional & Commercial Services","Microfinance, Payment Platforms, Others, Business Support Supplies, Commercial Printing Services","E-commerce, Hyperlocal, Marketplace, SaaS",0 - 50 Lacs INR,"Bengaluru, Karnataka"
ORIOS VENTURE PARTNERS,Venture Capital,"Validation, EarlyTraction","Agriculture, Finance Technology, Food & Beverages, Education, Healthcare & Lifesciences, Media & Entertainment, Retail, Social Network, Transportation & Storage, Logistics","Agri-Tech, Animal Husbandry, Dairy Farming, Fisheries, Food Processing, Horticulture, Organic Agriculture, Others, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, Food Processing, Food Technology/Food Delivery, Microbrewery, Others, Restaurants, Coaching, E-learning, Education Technology, Others, Skill Development, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Digital Media, Digital Media Blogging, Digital Media News, Digital Media Publishing, Digital Media Video, Entertainment, Movies, OOH Media, Others, Social Media, Comparison Shopping, Others, Retail Technology, Social Commerce, Others, Freight & Logistics Services, Others, Passenger Transportation Services, Traffic Management, Transport Infrastructure","Consumer Internet, E-commerce, Mobile, Peer to Peer, SaaS",2 Crore - 5 Crore INR,"Bengaluru, Karnataka"
MAYURESH RAUT,Venture Capital,"Ideation, Validation, EarlyTraction","Analytics, Computer Vision, Agriculture, AI, Finance Technology, Enterprise Software, Education, Healthcare & Lifesciences, Internet of Things, Logistics, Security Solutions, Real Estate, Robotics, Biotechnology","Big Data, Business Intelligence, Data Science, Others, Others, Agri-Tech, Animal Husbandry, Dairy Farming, Fisheries, Food Processing, Horticulture, Organic Agriculture, Others, Machine Learning, NLP, Others, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Coaching, E-learning, Education Technology, Others, Skill Development, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Manufacturing & Warehouse, Others, Smart Home, Wearables, Others, Cyber Security, Home Security solutions, Others, Public Citizen Security Solutions, Coworking Spaces, Housing, Others, Others, Robotics Application, Robotics Technology,","Consulting, Consumer Internet, Enterprise Mobility, Mobile, SaaS",50 Lacs - 2 Crore INR,"Bengaluru, Karnataka"
GROTOG INVESTMENT,Venture Capital,"Ideation, Validation, EarlyTraction","AI, Analytics, Telecommunication & Networking, Non- Renewable Energy, Renewable Energy, Finance Technology, Healthcare & Lifesciences, Internet of Things, IT Services, Media & Entertainment, Nanotechnology, Agriculture, Waste Management, Biotechnology","Machine Learning, NLP, Others, Business Intelligence, Big Data, Data Science, Others, Wireless, Integrated communication services, Network Technology Solutions, Others, Oil & Gas Exploration and Production, Oil & Gas Drilling, Oil Related Services and Equipment, Oil & Gas Transportation Services, Others, Renewable Solar Energy, Renewable Wind Energy, Renewable Nuclear Energy, Renewable Energy Solutions, Others, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, Medical Devices Biomedical, Health & Wellness, Pharmaceutical, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Others, Smart Home, Manufacturing & Warehouse, Wearables, Others, IT Consulting, BPO, KPO, Web Development, Product Development, Application Development, Testing, IT Management, Project Management, Others, Digital Media News, Digital Media Video, Digital Media Blogging, Digital Media Publishing, Digital Media, Movies, OOH Media, Social Media, Entertainment, Others, Others, Dairy Farming, Organic Agriculture, Agri-Tech, Food Processing, Others","Consulting, Consumer Internet, Discovery, E-commerce",50 Lacs - 2 Crore INR,"Mumbai, Maharashtra"
PROSUS,Private Equity,"Ideation, Validation, EarlyTraction, Scaling",Internet of Things,Others,Consumer Internet,5 Crore + INR,"New Delhi, Delhi"
PRANAV SANGHVI,Private Company,"Ideation, Validation, EarlyTraction","AR VR (Augmented + Virtual Reality), Telecommunication & Networking, Finance Technology, Education, Renewable Energy, Healthcare & Lifesciences, IT Services, Nanotechnology, Textiles & Apparel","Integrated communication services, Network Technology Solutions, Others, Wireless, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, Coaching, E-learning, Education Technology, Others, Skill Development, Manufacture of Electrical Equipment, Manufacture of Machinery and Equipment, Others, Renewable Energy Solutions, Renewable Nuclear Energy, Renewable Solar Energy, Renewable Wind Energy, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Application Development, BPO, IT Consulting, IT Management, KPO, Others, Product Development, Project Management, Testing, Web Development, Others, Apparel & Accessories, Leather Footwear, Leather Textiles Goods, Non- Leather Footwear, Non- Leather Textiles Goods, Others","Discovery, E-commerce, Online Aggregator, Research, Others",0 - 50 Lacs INR,"Mumbai, Maharashtra"
ANGELLIST INDIA,Venture Capital,"Ideation, Validation, EarlyTraction, Scaling",Finance Technology,Others,Online Aggregator,50 Lacs - 2 Crore INR,"Bengaluru, Karnataka"
PROCTER & GAMBLE,Private Company,"EarlyTraction, Scaling",Others,Others,Manufacturing,0 - 50 Lacs INR,"Mumbai, Maharashtra"
DIVYA GUPTA,Private Company,Scaling,Technology Hardware,"3d printing, Electronics, Embedded, Manufacturing, Others, Semiconductor",SaaS,0 - 50 Lacs INR,"Jaipur, Rajasthan"
EMMA HELLSTADIUS,Private Company,Ideation,Fashion,"Fashion Technology, Lifestyle, Apparel",Others,0 - 50 Lacs INR,"Delhi, Delhi"
DEXTARA DIGITAL PRIVATE LIMITED,Private Company,Validation,IT Services,"IT Consulting, IT Management, Project Management","Consulting, E-commerce, Others",50 Lacs - 2 Crore INR,"Hyderabad, Telangana"
SALMAN SAIFI,Others,"Ideation, Validation",Chemicals,Commodity Chemicals,Others,50 Lacs - 2 Crore INR,"Sikandrabad, Uttar Pradesh"
RAHUL GUPTA,Private Company,EarlyTraction,Media & Entertainment,"Digital Media News, Digital Media Video, Digital Media Blogging, Digital Media Publishing, Digital Media, Movies, OOH Media, Social Media, Entertainment",Consumer Internet,5 Crore + INR,"Delhi, Delhi"
HIMANSHU,Others,Ideation,Others,Others,Consulting,0 - 50 Lacs INR,"New Delhi, Delhi"
PRATIK MAHESH LODHA,Venture Capital,Validation,"Finance Technology, Logistics","Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others",E-commerce,5 Crore + INR,"Mumbai, Maharashtra"
SHIVAM MEHRA,Private Company,"Ideation, Validation","Finance Technology, Food & Beverages, Human Resources, Real Estate, Retail, Sports, Waste Management","Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, Restaurants, Microbrewery, Food Processing, Others, Recruitment Jobs, Training, Skills Assessment, Talent Management, Internships, Others, Housing, Coworking Spaces, Others, Retail Technology, Social Commerce, Comparison Shopping, Others, Fantasy Sports, Sports Promotion and Networking","Manufacturing, Marketplace, Mobile, Platform, Sharing Economy",50 Lacs - 2 Crore INR,"Mumbai, Maharashtra"
SUHAGKUMAR VAMJA,Private Company,Validation,"Marketing, Aeronautics Aerospace & Defence, Analytics","Sales, Loyalty, Discovery, Branding, Digital Marketing (SEO Automation), Market Research, Others, Drones, Others, Business Intelligence, Big Data, Data Science, Others","Consumer Internet, E-commerce",2 Crore - 5 Crore INR,"Ahmedabad, Gujarat"
KAMAL KISHOR,Others,EarlyTraction,Security Solutions,"Cyber Security, Home Security solutions, Others","Engineering, Governments, Manufacturing",50 Lacs - 2 Crore INR,"Ghaziabad, Uttar Pradesh"
STRIDE VENTURES,Others,EarlyTraction,Finance Technology,"Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading",Platform,5 Crore + INR,"Delhi, Delhi"
100X.VC,Venture Capital,"Validation, EarlyTraction, Scaling","Analytics, Advertising, AR VR (Augmented + Virtual Reality), Computer Vision, Aeronautics Aerospace & Defence, AI, Green Technology, Fashion, Finance Technology, Enterprise Software, Food & Beverages, Design, Education, Renewable Energy, Healthcare & Lifesciences, Internet of Things, IT Services, Human Resources, Nanotechnology, Media & Entertainment, Social Impact, Social Network, Textiles & Apparel, Transportation & Storage, Logistics, Robotics","Big Data, Business Intelligence, Data Science, Others, AdTech, Online Classified, Others, Others, Others, Drones, Others, Machine Learning, NLP, Others, Clean Tech, Others, Waste Management, Apparel, Fan Merchandise, Fashion Technology, Jewellery, Lifestyle, Others, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, CXM, Cloud, Collaboration, Customer Support, ERP, Enterprise Mobility, Location Based, Others, SCM, Food Processing, Microbrewery, Others, Restaurants, Industrial Design, Others, Web Design, Coaching, E-learning, Education Technology, Others, Skill Development, Others, Renewable Energy Solutions, Renewable Nuclear Energy, Renewable Solar Energy, Renewable Wind Energy, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Manufacturing & Warehouse, Others, Smart Home, Wearables, Application Development, BPO, IT Consulting, IT Management, KPO, Others, Product Development, Project Management, Testing, Web Development, Internships, Others, Recruitment Jobs, Skills Assessment, Talent Management, Training, Others, Digital Media, Digital Media Blogging, Digital Media News, Digital Media Publishing, Digital Media Video, Entertainment, Movies, OOH Media, Others, Social Media, NGO, Others, Others, Apparel & Accessories, Leather Footwear, Leather Textiles Goods, Non- Leather Footwear, Non- Leather Textiles Goods, Others, Freight & Logistics Services, Others, Passenger Transportation Services, Transport Infrastructure, Others, Others, Robotics Application, Robotics Technology","Consumer Internet, Discovery, E-commerce, Engineering, Enterprise Mobility, Hyperlocal, Manufacturing, Marketplace, Online Aggregator, Platform, SaaS, Subscription Commerce",0 - 50 Lacs INR,"Mumbai, Maharashtra"
YASH MUMBAI ANGELS,Angel Group,"Ideation, Validation, EarlyTraction, Scaling",Finance Technology,"Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others",Consulting,5 Crore + INR,"Mumbai, Maharashtra"
RSMIPL,Others,"EarlyTraction, Scaling",Technology Hardware,"Embedded, Semiconductor, Electronics, 3d printing, Others, Manufacturing",Manufacturing,0 - 50 Lacs INR,"Chennai, Tamil Nadu"
ACHIEVING WOMEN ENTREPRENEURS FUNDS,Private Equity,EarlyTraction,"Agriculture, Green Technology, Finance Technology, Food & Beverages, Education, Healthcare & Lifesciences, Others","Agri-Tech, Animal Husbandry, Dairy Farming, Fisheries, Food Processing, Horticulture, Organic Agriculture, Others, Clean Tech, Others, Waste Management, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, Food Processing, Food Technology/Food Delivery, Microbrewery, Others, Restaurants, Coaching, E-learning, Education Technology, Others, Skill Development, Assistance Technology, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Others","Consulting, Others",2 Crore - 5 Crore INR,"Mumbai, Maharashtra"
NAIR VENTURES,Venture Capital,"Ideation, Validation, EarlyTraction, Scaling","Events, Fashion, Finance Technology, Food & Beverages, Internet of Things, Real Estate, Retail, Robotics, Textiles & Apparel","Event Management, Fashion Technology, Lifestyle, Apparel, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Restaurants, Microbrewery, Food Processing, Others, Smart Home, Manufacturing & Warehouse, Wearables, Others, Housing, Coworking Spaces, Others, Retail Technology, Social Commerce, Comparison Shopping, Others, Robotics Technology, Robotics Application, Others, Leather Textiles Goods, Non- Leather Textiles Goods, Apparel & Accessories, Leather Footwear, Non- Leather Footwear, Others","Consulting, Discovery",5 Crore + INR,"Navi Mumbai, Maharashtra"
SKYLARK VENTURES,Venture Capital,"Validation, EarlyTraction","AR VR (Augmented + Virtual Reality), Art & Photography, AI, Fashion, Finance Technology, Food & Beverages, Dating Matrimonial, Education, Healthcare & Lifesciences, Marketing, Retail, Social Network, Transportation & Storage, Safety, Robotics","Art, Handicraft, Others, Photography, Machine Learning, NLP, Others, Apparel, Fan Merchandise, Fashion Technology, Jewellery, Lifestyle, Others, Accounting, Advisory, Billing and Invoicing, Bitcoin and Blockchain, Business Finance, Crowdfunding, Foreign Exchange, Insurance, Microfinance, Mobile wallets Payments, Others, P2P Lending, Payment Platforms, Personal Finance, Point of Sales, Trading, Food Processing, Microbrewery, Others, Restaurants, Others, Coaching, E-learning, Education Technology, Others, Skill Development, Biotechnology, Health & Wellness, Healthcare IT, Healthcare Services, Healthcare Technology, Medical Devices Biomedical, Others, Pharmaceutical, Branding, Digital Marketing (SEO Automation), Discovery, Loyalty, Market Research, Others, Sales, Comparison Shopping, Others, Retail Technology, Social Commerce, Others, Freight & Logistics Services, Others, Passenger Transportation Services, Transport Infrastructure, Others, Personal Security, Others, Robotics Application, Robotics Technology","Consulting, Consumer Internet, E-commerce, Enterprise Mobility, Marketplace, Mobile, Online Aggregator, Rental, Social Enterprise",5 Crore + INR,"New Delhi, Delhi"
CHRISTINE VINCENT,,EarlyTraction,"AI, AR VR (Augmented + Virtual Reality), Green Technology, Finance Technology, Internet of Things","Machine Learning, NLP, Others, Others, Waste Management, Clean Tech, Others, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, Smart Home, Manufacturing & Warehouse, Wearables, Others",Others,5 Crore + INR,"Chennai, Tamil Nadu"
INDIA MOBILE CONGRESS,Others,"EarlyTraction, Scaling","AI, Telecommunication & Networking, Internet of Things","Machine Learning, NLP, Others, Wireless, Integrated communication services, Network Technology Solutions, Others, Smart Home, Manufacturing & Warehouse, Wearables, Others","Engineering, Mobile, Others",50 Lacs - 2 Crore INR,"New Delhi, Delhi"
RAMESH BYRAPANENI,,EarlyTraction,"AI, Computer Vision, Enterprise Software, Finance Technology, Healthcare & Lifesciences, Agriculture, Biotechnology","Machine Learning, NLP, Others, Others, Cloud, Crowdfunding, Mobile wallets Payments, Point of Sales, Payment Platforms, Trading, Billing and Invoicing, Personal Finance, Insurance, Advisory, Business Finance, P2P Lending, Bitcoin and Blockchain, Microfinance, Foreign Exchange, Accounting, Others, Medical Devices Biomedical, Health & Wellness, Pharmaceutical, Biotechnology, Healthcare Services, Healthcare IT, Healthcare Technology, Others, Agri-Tech, Others",Mobile,5 Crore + INR,"Hyderabad, Telangana"
RRW CAPITAL,Private Company,Ideation,Agriculture,"Dairy Farming, Organic Agriculture, Agri-Tech","Offline, Subscription Commerce",2 Crore - 5 Crore INR,"New Delhi, Delhi"
